ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0035295,tube development,139,-0.295833199,-1.735749902,0.000285124,0.012052962,0.010853805,502,"tags=35%, list=21%, signal=30%",SOX4/PRKACA/MTDH/HIPK1/QKI/ID1/CD36/HHEX/WNK1/LTA4H/TIPARP/ITGAX/GLUL/FOSL2/HMOX1/BLOC1S6/LRP1/BASP1/NR4A1/GRN/CSF1R/CAT/EMILIN2/CYBB/BTG1/CEBPA/WASF2/VASP/CTSH/CD93/GTF2I/SRSF6/ANXA1/ATP6AP2/PTGS2/TGFBI/EREG/C5AR1/CYP1B1/MARCKS/ZFP36L1/CTSZ/ID2/JUNB/IL1B/RPL13A/KLF2/KLF4/CXCL8
GO:0048545,response to steroid hormone,61,-0.372002162,-1.80443815,0.001936219,0.049179506,0.044286605,212,"tags=23%, list=9%, signal=21%",ANXA1/PTGS2/ZBTB7A/TSPO/ZFP36/RPL27/ZFP36L2/CYP1B1/ZFP36L1/JUNB/FOS/JUND/JUN/FOSB
GO:0009725,response to hormone,148,-0.310044862,-1.819227156,0.000111668,0.005298541,0.004771385,492,"tags=34%, list=21%, signal=29%",PARK7/PRKACA/COMT/CTSD/ATP1A1/LTA4H/HADHA/NCOA4/TRIM44/FOSL2/DDX5/PTGER4/NR4A1/AHCYL1/SORL1/CAT/YY1/LEPROT/SOCS3/CYBB/FBP1/RHOQ/CTSH/ZNF106/SRSF6/RXRA/BLVRB/ANXA1/PTGS2/ZBTB7A/EREG/TSPO/ZFP36/RPL27/GNAI2/ZFP36L2/CYP1B1/EGR1/GNAS/ZFP36L1/NR4A2/CTSS/JUNB/IL1B/BTG2/KLF2/FOS/JUND/JUN/FOSB
GO:0001568,blood vessel development,103,-0.337592788,-1.8441218,0.000624875,0.023060864,0.020766523,502,"tags=41%, list=21%, signal=34%",TNFSF12/NCL/SOX4/COMT/MTDH/HIPK1/QKI/ID1/CD36/HHEX/WNK1/TIPARP/ITGAX/MAP3K3/GLUL/IL6R/HMOX1/LRP1/NR4A1/GRN/EMILIN2/SOCS3/CYBB/BTG1/WASF2/CTSH/CD93/GTF2I/ANXA1/PTGS2/LYL1/TGFBI/EREG/C5AR1/CYP1B1/EGR1/ZFP36L1/JUNB/IL1B/KLF2/KLF4/CXCL8
GO:0045766,positive regulation of angiogenesis,33,-0.441235442,-1.844796135,0.001994774,0.049179506,0.044286605,475,"tags=45%, list=20%, signal=37%",MTDH/HIPK1/WNK1/ITGAX/HMOX1/GRN/EMILIN2/CYBB/BTG1/CTSH/C5AR1/CYP1B1/IL1B/KLF4/CXCL8
GO:1904018,positive regulation of vasculature development,33,-0.441235442,-1.844796135,0.001994774,0.049179506,0.044286605,475,"tags=45%, list=20%, signal=37%",MTDH/HIPK1/WNK1/ITGAX/HMOX1/GRN/EMILIN2/CYBB/BTG1/CTSH/C5AR1/CYP1B1/IL1B/KLF4/CXCL8
GO:0001944,vasculature development,107,-0.342883066,-1.875573304,0.000123868,0.005646904,0.00508509,502,"tags=39%, list=21%, signal=32%",SOX4/COMT/MTDH/HIPK1/QKI/ID1/CD36/HHEX/WNK1/TIPARP/ITGAX/MAP3K3/GLUL/IL6R/HMOX1/LRP1/NR4A1/GRN/EMILIN2/ANP32B/SOCS3/CYBB/BTG1/WASF2/CTSH/CD93/GTF2I/ANXA1/PTGS2/LYL1/SOD2/TGFBI/EREG/C5AR1/CYP1B1/EGR1/ZFP36L1/JUNB/IL1B/KLF2/KLF4/CXCL8
GO:0097305,response to alcohol,49,-0.408525466,-1.901425585,0.001012833,0.032706067,0.029452119,196,"tags=37%, list=8%, signal=34%",PTGER4/CAT/CYBB/RPL15/FBP1/SOD2/RPL10A/TSPO/RPL27/CYP1B1/CD14/GNAS/RGS2/BTG2/KLF2/KLF4/FOS/FOSB
GO:0045444,fat cell differentiation,37,-0.468236384,-2.025140003,0.000543167,0.021047709,0.018953658,310,"tags=46%, list=13%, signal=41%",FOSL2/NR4A1/CEBPA/METRNL/MAFB/PTGS2/SOD2/ZBTB7A/ZFP36/ZFP36L2/CEBPB/CEBPD/ZFP36L1/NR4A2/RGS2/ID2/KLF4
GO:0097306,cellular response to alcohol,22,-0.527770161,-2.025291592,0.001311415,0.039090256,0.03520114,386,"tags=45%, list=16%, signal=38%",PTGER4/CYBB/FBP1/SOD2/CYP1B1/GNAS/BTG2/KLF2/KLF4/FOS
